Niveau;Vocabulaire;Signification;Lecture
N2;相変わらず;comme d'habitude, comme toujours;あいかわらず
N4;挨拶;salutation;あいさつ
N5;挨拶する;saluer;あいさつする
N3;愛情;amour, affection;あいじょう
N3;吅図;signal, signe;あいず
N3;;crème glacée;アイスクリーム
N3;愛する;aimer, être amoureux;あいする
N4;間;entre, parmi, pendant que;あいだ
N3;相手;adversaire, opposant, compagnon;あいて
N2;;idée;アイデア・アイ
N3;生憎;malheureusement;あいにく
N2;曖昧;ambigu, peu précis, vague;あいまい
N3;;fer à repasser;アイロン
N5;会う・遭う [五段];rencontrer, voir (une personne);あう
N4;吅う [五段];convenir;あう
N3;;dehors, à l'extérieur;アウト
N5;青;bleu (le), vert (le);あお
N5;青い・蒼い;bleu, vert, inexpérimenté;あおい
N2;扇ぐ [五段];éventer, battre;あおぐ
N2;青白い;blême, pâle;あおじろい
N5;赤;rouge (le);あか
N5;赤い;rouge;あかい
N4;赤ちゃん;bébé;あかちゃん
N3;明かり;clarté, lumières;あかり
N4;上がる [五段];s'élever, grimper, augmenter;あがる
N5;明るい;clair;あかるい
N4;赤ん坊;bébé;あかんぼう
N5;秋;automne;あき
N3;明き・空き;vide, place, espace;あき
N3;明らか;évident, clair;あきらか
N3;諦める [一段];abandonner, renoncer, laisser tomber;あきらめる
N3;飽きる [一段];s'ennuyer, se lasser;あきる
N2;呆れる [一段];être stupéfait, ébahi;あきれる
N5;開く [五段];s'ouvrir;あく
N4;空く [五段];se vider, être vide, être disponible;あく
N3;握手;poignée de mains;あくしゅ
N4;;accessoire;アクセサリー
N2;;accent;アクセント
N2;欠伸;bâillement;あくび
N3;悪魔;démon, diable, mauvais esprit;あくま
N2;飽くまで;jusqu'au bout, obstinément;あくまで
N2;明くる;prochain, suivant;あくる
N2;明け方;aube;あけがた
N5;開ける・明ける [一段];ouvrir;あける
N3;明ける [一段];se lever (le soleil), s'éclaircir;あける
N5;上げる [一段];donner;あげる
N4;上げる [一段];augmenter;あげる
N2;憧れる [一段];aspirer à, languir de quelque chose;あこがれる
N5;朝;matin;あさ
N4;浅い;peu profond;あさい
N5;朝ご飯;petit-déjeuner;あさごはん
N5;明後日;après-demain;あさって
N4;朝寝坊;lève-tard;あさねぼう
N5;足;jambe;あし
N5;足;pied;あし
N4;味;goût;あじ
N4;;Asie, asiatique;アジア
N2;足跡;empreinte de pied;あしあと
N5;明日;demain;あした
N2;足元・足下;sous les pieds, allure, démarche;あしもと
N2;味わう [五段];goûter;あじわう
N4;明日;demain;あす
N2;預かる [五段];s'occuper de, prendre en charge;あずかる
N3;預ける [一段];"confier à la garde de, laisser quelqu'un à la charge
de";あずける
N3;汗;sueur;あせ
N2;汗を掻く;transpirer, suer;あせをかく
N5;彼処;là-bas (loin du locuteur et de l'interlocuteur);あそこ
N5;遊び;jeu;あそび
N5;遊ぶ [五段];jouer;あそぶ
N2;値;coût, prix, valeur;あたい
N3;与える [一段];décerner, offrir, donner;あたえる
N5;温かい・暖かい;tiède, chaud;あたたかい
N2;温まる・暖まる [五段];se réchauffer;あたたまる
N2;温める・暖める [一段];réchauffer;あたためる
N5;頭;tête;あたま
N5;新しい;nouveau;あたらしい
N3;辺り;aux environs;あたり
N2;当たり前;évident, banal, normal;あたりまえ
N3;当たる [五段];"entreprendre, avoir du succès, être assigné, être
équivalent à";あたる
N3;彼方・此方;ici et là;"あちこち・あち
らこちら"
N5;彼方;ce côté-là (loin du locuteur et de l'interlocuteur);あちら
N5;暑い;chaud (temps météo.);あつい
N5;厚い;épais, lourd;あつい
N3;扱う [五段];s'occuper de, gérer, traiter;あつかう
N2;厚かましい;effronté, insolent;あつかましい
N2;圧縮;compression;あっしゅく
N5;彼方;ce côté-là (loin du locuteur et de l'interlocuteur);あっち
N3;集まり;réunion, rassemblement;あつまり
N4;集まる [五段];se réunir;あつまる
N4;集める [一段];réunir, rassembler;あつめる
N2;宛名;adresse et nom du destinataire;あてな
N2;当てはまる [五段];appliquer (une règle);あてはまる
N2;当てはめる [一段];adapter, faire correspondre;あてはめる
N3;当てる [一段];toucher, appliquer, mettre, poser;あてる
N5;後;après;あと
N3;跡;empreinte, marque;あと
N3;穴;trou, orifice;あな
N4;;présentateur (TV, radio);アナウンサー
N5;貴方;tu, toi, ton (neutre);あなた
N5;兄;grand-frère;あに
N5;姉;grande-soeur;あね
N5;彼の;ce (loin du locuteur et de l'interlocuteur);あの
N5;;appartement;アパート
N2;暴れる [一段];être furieux, violent, agir violemment;あばれる
